Order_ID,Order_Date,Customer_City,Product_Category,Product_Item,Quantity,Unit_Price,Unit_Cost,Shipping_Cost,Courier_Partner,Transit_Days,Order_Status
GLM-10047,2026-05-18,Pune,Gardening Tools,Ergonomic Hand Trowel,1,180,70,47,Shadowfax,6,Delivered
GLM-10048,2026-03-18,Hyderabad,Planters & Pots,Terracotta Clay Pot Set,1,500,200,132,Delhivery,3,Delivered
GLM-10049,2026-04-08,Delhi NCR,Gardening Tools,Ergonomic Hand Trowel,1,180,70,67,Bluedart,2,Delivered
GLM-10050,2026-05-29,Chennai,Planters & Pots,Terracotta Clay Pot Set,1,500,200,140,Bluedart,3,Delivered
GLM-10051,2026-02-13,Mumbai,Gardening Tools,Watering Can 5L,1,350,140,55,Shadowfax,6,Delivered
GLM-10052,2026-03-21,Pune,Organic Fertilizers,Vermicompost 5kg,1,400,150,169,Bluedart,2,Delivered
GLM-10053,2026-01-19,Kolkata,Planters & Pots,Self-Watering Plastic Pot,1,220,90,105,Shadowfax,7,Delivered
GLM-10054,2026-02-07,Bengaluru,Live Plants,Money Plant,1,250,80,75,Shadowfax,8,Delivered
GLM-10055,2026-03-05,Mumbai,Planters & Pots,Ceramic Mandala Pot,2,800,320,128,Shadowfax,8,Returned
GLM-10056,2026-03-23,Kolkata,Planters & Pots,Self-Watering Plastic Pot,1,220,90,118,Bluedart,3,Delivered
GLM-10057,2026-03-08,Pune,Gardening Tools,Watering Can 5L,1,350,140,58,Bluedart,2,Delivered
GLM-10058,2026-03-02,Hyderabad,Gardening Tools,Ergonomic Hand Trowel,2,180,70,64,Bluedart,1,Delivered
GLM-10059,2026-02-09,Pune,Live Plants,Money Plant,1,250,80,53,Shadowfax,7,Delivered
GLM-10060,2026-04-18,Kochi,Live Plants,Money Plant,1,250,80,66,Delhivery,4,Delivered
GLM-10061,2026-05-18,Pune,Planters & Pots,Ceramic Mandala Pot,1,800,320,132,Delhivery,2,Delivered
GLM-10062,2026-04-14,Delhi NCR,Planters & Pots,Ceramic Mandala Pot,4,800,320,127,Shadowfax,4,Returned
GLM-10063,2026-05-25,Bengaluru,Live Plants,Money Plant,1,250,80,64,Delhivery,3,Delivered
GLM-10064,2026-03-25,Pune,Planters & Pots,Terracotta Clay Pot Set,1,500,200,116,Delhivery,4,Delivered
GLM-10065,2026-03-06,Mumbai,Planters & Pots,Ceramic Mandala Pot,2,800,320,94,Bluedart,2,Delivered
GLM-10066,2026-01-11,Bengaluru,Organic Fertilizers,Vermicompost 5kg,2,400,150,150,Shadowfax,5,Delivered
GLM-10067,2026-01-30,Pune,Planters & Pots,Self-Watering Plastic Pot,1,220,90,137,Delhivery,3,Delivered
GLM-10068,2026-01-30,Delhi NCR,Gardening Tools,Premium Pruning Shears,1,650,260,52,Delhivery,5,Delivered
GLM-10069,2026-01-20,Pune,Live Plants,Succulent Trio,2,450,150,76,Shadowfax,4,Delivered
GLM-10070,2026-01-11,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,116,Shadowfax,6,Delivered
GLM-10071,2026-05-06,Mumbai,Planters & Pots,Terracotta Clay Pot Set,1,500,200,136,Delhivery,3,Delivered
GLM-10072,2026-05-14,Hyderabad,Planters & Pots,Terracotta Clay Pot Set,1,500,200,105,Shadowfax,8,Delivered
GLM-10073,2026-01-23,Hyderabad,Planters & Pots,Ceramic Mandala Pot,2,800,320,111,Shadowfax,8,Delivered
GLM-10074,2026-01-08,Kolkata,Gardening Tools,Premium Pruning Shears,1,650,260,78,Delhivery,4,Delivered
GLM-10075,2026-03-12,Bengaluru,Organic Fertilizers,Vermicompost 5kg,1,400,150,135,Delhivery,5,Delivered
GLM-10076,2026-05-02,Kolkata,Planters & Pots,Ceramic Mandala Pot,1,800,320,109,Bluedart,2,Delivered
GLM-10077,2026-05-29,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,119,Delhivery,4,Delivered
GLM-10078,2026-03-11,Hyderabad,Gardening Tools,Premium Pruning Shears,1,650,260,74,Bluedart,2,Delivered
GLM-10079,2026-02-17,Pune,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,153,Shadowfax,8,Delivered
GLM-10080,2026-03-14,Mumbai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,154,Bluedart,2,Delivered
GLM-10081,2026-02-02,Hyderabad,Live Plants,Bonsai Tree,1,1200,450,71,Shadowfax,5,Delivered
GLM-10082,2026-01-27,Bengaluru,Gardening Tools,Ergonomic Hand Trowel,1,180,70,56,Delhivery,3,Delivered
GLM-10083,2026-05-03,Mumbai,Live Plants,Money Plant,1,250,80,76,Shadowfax,4,Delivered
GLM-10084,2026-03-19,Mumbai,Organic Fertilizers,Vermicompost 5kg,1,400,150,144,Delhivery,3,Delivered
GLM-10085,2026-04-26,Kolkata,Gardening Tools,Watering Can 5L,4,350,140,46,Delhivery,2,Delivered
GLM-10086,2026-02-23,Pune,Gardening Tools,Watering Can 5L,1,350,140,50,Bluedart,1,Delivered
GLM-10087,2026-01-01,Kochi,Planters & Pots,Self-Watering Plastic Pot,1,220,90,135,Delhivery,2,Delivered
GLM-10088,2026-03-14,Kolkata,Live Plants,Indoor Fern,3,350,120,52,Shadowfax,8,Delivered
GLM-10089,2026-04-19,Mumbai,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,130,Delhivery,3,Delivered
GLM-10090,2026-03-20,Hyderabad,Planters & Pots,Ceramic Mandala Pot,1,800,320,122,Delhivery,5,Delivered
GLM-10091,2026-05-19,Kolkata,Planters & Pots,Ceramic Mandala Pot,1,800,320,91,Delhivery,4,Delivered
GLM-10092,2026-01-24,Pune,Live Plants,Succulent Trio,1,450,150,68,Bluedart,2,Delivered
GLM-10093,2026-03-13,Delhi NCR,Planters & Pots,Self-Watering Plastic Pot,2,220,90,111,Bluedart,2,Delivered
GLM-10094,2026-03-24,Mumbai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,145,Delhivery,4,Delivered
GLM-10095,2026-05-21,Bengaluru,Planters & Pots,Ceramic Mandala Pot,1,800,320,115,Delhivery,2,Delivered
GLM-10096,2026-05-12,Bengaluru,Planters & Pots,Terracotta Clay Pot Set,1,500,200,121,Shadowfax,6,Delivered
GLM-10097,2026-04-24,Bengaluru,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,151,Delhivery,5,Delivered
GLM-10098,2026-02-01,Bengaluru,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,125,Shadowfax,4,Delivered
GLM-10099,2026-02-27,Mumbai,Planters & Pots,Ceramic Mandala Pot,1,800,320,108,Bluedart,2,Delivered
GLM-10100,2026-05-11,Hyderabad,Planters & Pots,Terracotta Clay Pot Set,4,500,200,114,Bluedart,2,Delivered
GLM-10101,2026-02-18,Delhi NCR,Live Plants,Succulent Trio,2,450,150,72,Delhivery,4,Delivered
GLM-10102,2026-03-10,Bengaluru,Gardening Tools,Watering Can 5L,1,350,140,71,Shadowfax,8,Returned
GLM-10103,2026-02-08,Kolkata,Planters & Pots,Terracotta Clay Pot Set,1,500,200,110,Shadowfax,7,Delivered
GLM-10104,2026-02-18,Pune,Planters & Pots,Ceramic Mandala Pot,2,800,320,120,Delhivery,2,Delivered
GLM-10105,2026-04-08,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,3,250,90,141,Bluedart,3,Delivered
GLM-10106,2026-01-26,Kolkata,Live Plants,Money Plant,1,250,80,49,Bluedart,2,Delivered
GLM-10107,2026-01-20,Kolkata,Gardening Tools,Ergonomic Hand Trowel,1,180,70,74,Delhivery,2,Delivered
GLM-10108,2026-04-08,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,108,Bluedart,1,Delivered
GLM-10109,2026-02-28,Mumbai,Planters & Pots,Ceramic Mandala Pot,2,800,320,134,Shadowfax,4,Delivered
GLM-10110,2026-03-18,Bengaluru,Live Plants,Succulent Trio,2,450,150,49,Delhivery,4,Delivered
GLM-10111,2026-03-04,Kochi,Organic Fertilizers,Vermicompost 5kg,1,400,150,135,Shadowfax,7,Delivered
GLM-10112,2026-05-08,Delhi NCR,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,177,Delhivery,4,Delivered
GLM-10113,2026-04-30,Hyderabad,Organic Fertilizers,Vermicompost 5kg,1,400,150,147,Delhivery,4,Delivered
GLM-10114,2026-03-06,Kolkata,Gardening Tools,Premium Pruning Shears,4,650,260,76,Delhivery,2,Delivered
GLM-10115,2026-04-02,Hyderabad,Gardening Tools,Premium Pruning Shears,4,650,260,76,Shadowfax,7,Delivered
GLM-10116,2026-01-13,Kolkata,Gardening Tools,Premium Pruning Shears,1,650,260,79,Delhivery,3,Delivered
GLM-10117,2026-03-06,Delhi NCR,Live Plants,Bonsai Tree,1,1200,450,48,Delhivery,2,Delivered
GLM-10118,2026-01-24,Hyderabad,Gardening Tools,Watering Can 5L,1,350,140,63,Bluedart,1,Delivered
GLM-10119,2026-05-16,Hyderabad,Organic Fertilizers,Neem Cake Powder 2kg,3,250,90,141,Delhivery,4,Delivered
GLM-10120,2026-01-30,Kolkata,Live Plants,Indoor Fern,2,350,120,65,Bluedart,3,Delivered
GLM-10121,2026-05-23,Chennai,Live Plants,Money Plant,1,250,80,56,Shadowfax,4,Delivered
GLM-10122,2026-05-30,Kochi,Gardening Tools,Premium Pruning Shears,1,650,260,75,Delhivery,2,Delivered
GLM-10123,2026-03-25,Pune,Live Plants,Money Plant,3,250,80,42,Delhivery,5,Delivered
GLM-10124,2026-01-10,Hyderabad,Planters & Pots,Ceramic Mandala Pot,1,800,320,113,Shadowfax,5,Delivered
GLM-10125,2026-05-19,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,137,Delhivery,5,Delivered
GLM-10126,2026-01-09,Chennai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,163,Bluedart,2,Delivered
GLM-10127,2026-04-05,Chennai,Live Plants,Money Plant,1,250,80,53,Bluedart,2,Delivered
GLM-10128,2026-01-06,Bengaluru,Gardening Tools,Premium Pruning Shears,4,650,260,75,Shadowfax,5,Delivered
GLM-10129,2026-02-23,Pune,Organic Fertilizers,Neem Cake Powder 2kg,2,250,90,129,Shadowfax,4,Delivered
GLM-10130,2026-02-03,Hyderabad,Organic Fertilizers,Vermicompost 5kg,1,400,150,170,Bluedart,1,Delivered
GLM-10131,2026-03-02,Chennai,Live Plants,Indoor Fern,1,350,120,47,Bluedart,3,Delivered
GLM-10132,2026-01-17,Kolkata,Planters & Pots,Terracotta Clay Pot Set,1,500,200,129,Bluedart,2,Delivered
GLM-10133,2026-01-12,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,3,220,90,117,Bluedart,2,Delivered
GLM-10134,2026-01-28,Kolkata,Planters & Pots,Ceramic Mandala Pot,2,800,320,107,Delhivery,3,Delivered
GLM-10135,2026-05-30,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,134,Delhivery,5,Delivered
GLM-10136,2026-01-30,Pune,Planters & Pots,Terracotta Clay Pot Set,2,500,200,115,Delhivery,4,Delivered
GLM-10137,2026-04-17,Mumbai,Gardening Tools,Ergonomic Hand Trowel,1,180,70,70,Delhivery,4,Delivered
GLM-10138,2026-01-18,Mumbai,Live Plants,Bonsai Tree,1,1200,450,75,Shadowfax,6,Returned
GLM-10139,2026-01-16,Chennai,Live Plants,Money Plant,1,250,80,43,Shadowfax,7,Returned
GLM-10140,2026-03-15,Hyderabad,Gardening Tools,Premium Pruning Shears,1,650,260,54,Bluedart,1,Delivered
GLM-10141,2026-01-28,Chennai,Gardening Tools,Premium Pruning Shears,2,650,260,75,Shadowfax,5,Delivered
GLM-10142,2026-05-23,Bengaluru,Gardening Tools,Premium Pruning Shears,1,650,260,62,Shadowfax,6,Delivered
GLM-10143,2026-01-02,Delhi NCR,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,121,Bluedart,1,Delivered
GLM-10144,2026-01-24,Pune,Planters & Pots,Terracotta Clay Pot Set,1,500,200,110,Bluedart,2,Delivered
GLM-10145,2026-05-26,Mumbai,Live Plants,Indoor Fern,1,350,120,57,Shadowfax,4,Delivered
GLM-10146,2026-04-24,Kochi,Planters & Pots,Self-Watering Plastic Pot,1,220,90,97,Delhivery,3,Delivered
GLM-10147,2026-03-30,Kochi,Live Plants,Succulent Trio,1,450,150,59,Shadowfax,7,Delivered
GLM-10148,2026-01-12,Pune,Planters & Pots,Self-Watering Plastic Pot,1,220,90,139,Bluedart,2,Delivered
GLM-10149,2026-02-05,Hyderabad,Gardening Tools,Ergonomic Hand Trowel,1,180,70,64,Delhivery,5,Delivered
GLM-10150,2026-05-17,Pune,Gardening Tools,Premium Pruning Shears,1,650,260,69,Shadowfax,4,Delivered
GLM-10151,2026-01-20,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,115,Shadowfax,7,Delivered
GLM-10152,2026-01-06,Chennai,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,174,Shadowfax,6,Delivered
GLM-10153,2026-01-28,Pune,Planters & Pots,Self-Watering Plastic Pot,1,220,90,137,Bluedart,2,Delivered
GLM-10154,2026-03-28,Pune,Gardening Tools,Premium Pruning Shears,1,650,260,52,Shadowfax,4,Delivered
GLM-10155,2026-03-31,Chennai,Organic Fertilizers,Vermicompost 5kg,1,400,150,129,Delhivery,3,Delivered
GLM-10156,2026-01-20,Delhi NCR,Planters & Pots,Terracotta Clay Pot Set,2,500,200,126,Shadowfax,7,Delivered
GLM-10157,2026-03-24,Chennai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,157,Delhivery,4,Delivered
GLM-10158,2026-01-15,Chennai,Live Plants,Succulent Trio,1,450,150,58,Bluedart,1,Delivered
GLM-10159,2026-01-20,Mumbai,Planters & Pots,Terracotta Clay Pot Set,1,500,200,126,Shadowfax,4,Delivered
GLM-10160,2026-02-18,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,111,Bluedart,2,Delivered
GLM-10161,2026-01-22,Delhi NCR,Live Plants,Indoor Fern,2,350,120,58,Delhivery,3,Delivered
GLM-10162,2026-04-10,Kochi,Gardening Tools,Watering Can 5L,1,350,140,46,Shadowfax,6,Delivered
GLM-10163,2026-05-23,Kochi,Gardening Tools,Ergonomic Hand Trowel,2,180,70,61,Shadowfax,8,Delivered
GLM-10164,2026-01-21,Delhi NCR,Gardening Tools,Ergonomic Hand Trowel,3,180,70,45,Shadowfax,7,Delivered
GLM-10165,2026-03-21,Kochi,Gardening Tools,Premium Pruning Shears,1,650,260,67,Shadowfax,8,Delivered
GLM-10166,2026-05-11,Chennai,Live Plants,Succulent Trio,1,450,150,71,Bluedart,2,Delivered
GLM-10167,2026-02-19,Pune,Organic Fertilizers,Vermicompost 5kg,1,400,150,173,Bluedart,3,Delivered
GLM-10168,2026-05-15,Bengaluru,Gardening Tools,Watering Can 5L,1,350,140,79,Delhivery,3,Delivered
GLM-10169,2026-02-12,Kolkata,Live Plants,Money Plant,1,250,80,79,Shadowfax,5,Returned
GLM-10170,2026-03-14,Kolkata,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,180,Delhivery,3,Delivered
GLM-10171,2026-05-27,Kolkata,Planters & Pots,Terracotta Clay Pot Set,2,500,200,100,Shadowfax,8,Delivered
GLM-10172,2026-02-21,Delhi NCR,Gardening Tools,Premium Pruning Shears,1,650,260,73,Delhivery,2,Delivered
GLM-10173,2026-02-01,Hyderabad,Live Plants,Indoor Fern,1,350,120,45,Shadowfax,5,Returned
GLM-10174,2026-02-26,Kolkata,Gardening Tools,Premium Pruning Shears,1,650,260,45,Delhivery,4,Delivered
GLM-10175,2026-04-06,Pune,Live Plants,Succulent Trio,3,450,150,48,Shadowfax,6,Returned
GLM-10176,2026-01-10,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,2,220,90,90,Shadowfax,7,Delivered
GLM-10177,2026-01-21,Bengaluru,Gardening Tools,Premium Pruning Shears,2,650,260,47,Shadowfax,8,Delivered
GLM-10178,2026-03-15,Pune,Gardening Tools,Premium Pruning Shears,1,650,260,71,Delhivery,5,Delivered
GLM-10179,2026-05-18,Bengaluru,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,135,Delhivery,2,Delivered
GLM-10180,2026-05-27,Kochi,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,153,Shadowfax,6,Delivered
GLM-10181,2026-05-20,Bengaluru,Planters & Pots,Terracotta Clay Pot Set,1,500,200,91,Delhivery,4,Delivered
GLM-10182,2026-04-02,Mumbai,Gardening Tools,Premium Pruning Shears,2,650,260,61,Shadowfax,4,Delivered
GLM-10183,2026-02-04,Bengaluru,Gardening Tools,Watering Can 5L,1,350,140,69,Shadowfax,5,Delivered
GLM-10184,2026-05-03,Delhi NCR,Organic Fertilizers,Vermicompost 5kg,2,400,150,122,Delhivery,2,Delivered
GLM-10185,2026-02-21,Bengaluru,Gardening Tools,Ergonomic Hand Trowel,1,180,70,52,Shadowfax,7,Delivered
GLM-10186,2026-03-15,Chennai,Live Plants,Succulent Trio,1,450,150,68,Delhivery,5,Returned
GLM-10187,2026-04-09,Chennai,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,166,Delhivery,4,Delivered
GLM-10188,2026-04-19,Mumbai,Planters & Pots,Self-Watering Plastic Pot,4,220,90,96,Bluedart,3,Delivered
GLM-10189,2026-01-21,Chennai,Gardening Tools,Ergonomic Hand Trowel,1,180,70,68,Shadowfax,7,Delivered
GLM-10190,2026-03-31,Kolkata,Live Plants,Succulent Trio,1,450,150,43,Delhivery,4,Delivered
GLM-10191,2026-01-20,Kochi,Gardening Tools,Watering Can 5L,2,350,140,49,Shadowfax,5,Delivered
GLM-10192,2026-04-23,Bengaluru,Organic Fertilizers,Vermicompost 5kg,1,400,150,180,Shadowfax,6,Delivered
GLM-10193,2026-05-26,Bengaluru,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,124,Delhivery,4,Delivered
GLM-10194,2026-05-27,Delhi NCR,Gardening Tools,Ergonomic Hand Trowel,1,180,70,41,Delhivery,3,Delivered
GLM-10195,2026-02-17,Kolkata,Planters & Pots,Self-Watering Plastic Pot,1,220,90,129,Delhivery,5,Delivered
GLM-10196,2026-03-15,Kolkata,Organic Fertilizers,Vermicompost 5kg,1,400,150,165,Bluedart,2,Delivered
GLM-10197,2026-04-24,Mumbai,Gardening Tools,Watering Can 5L,1,350,140,59,Bluedart,3,Delivered
GLM-10198,2026-02-10,Delhi NCR,Gardening Tools,Watering Can 5L,1,350,140,71,Bluedart,1,Delivered
GLM-10199,2026-01-07,Chennai,Gardening Tools,Ergonomic Hand Trowel,2,180,70,45,Shadowfax,5,Delivered
GLM-10200,2026-01-17,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,2,220,90,126,Shadowfax,7,Delivered
GLM-10201,2026-01-19,Delhi NCR,Gardening Tools,Watering Can 5L,1,350,140,75,Delhivery,4,Delivered
GLM-10202,2026-05-31,Delhi NCR,Organic Fertilizers,Neem Cake Powder 2kg,1,250,90,139,Bluedart,1,Delivered
GLM-10203,2026-02-12,Delhi NCR,Gardening Tools,Watering Can 5L,1,350,140,56,Shadowfax,6,Delivered
GLM-10204,2026-02-20,Hyderabad,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,130,Shadowfax,4,Delivered
GLM-10205,2026-05-29,Delhi NCR,Organic Fertilizers,Liquid Seaweed Extract,1,300,110,156,Shadowfax,6,Delivered
GLM-10206,2026-01-11,Bengaluru,Live Plants,Bonsai Tree,3,1200,450,76,Shadowfax,6,Delivered
GLM-10207,2026-04-17,Bengaluru,Planters & Pots,Self-Watering Plastic Pot,1,220,90,133,Shadowfax,6,Delivered
GLM-10208,2026-04-14,Hyderabad,Planters & Pots,Ceramic Mandala Pot,1,800,320,119,Bluedart,2,Delivered
GLM-10209,2026-02-22,Chennai,Organic Fertilizers,Neem Cake Powder 2kg,2,250,90,128,Delhivery,4,Delivered
GLM-10210,2026-04-05,Mumbai,Gardening Tools,Premium Pruning Shears,1,650,260,46,Delhivery,5,Delivered
GLM-10211,2026-01-13,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,1,220,90,136,Bluedart,2,Delivered
GLM-10212,2026-03-22,Pune,Organic Fertilizers,Neem Cake Powder 2kg,4,250,90,151,Delhivery,5,Delivered
GLM-10213,2026-01-06,Mumbai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,93,Bluedart,1,Delivered
GLM-10214,2026-01-13,Hyderabad,Planters & Pots,Self-Watering Plastic Pot,2,220,90,90,Shadowfax,7,Delivered
GLM-10215,2026-01-28,Kochi,Organic Fertilizers,Neem Cake Powder 2kg,2,250,90,123,Delhivery,4,Delivered
GLM-10216,2026-05-26,Pune,Gardening Tools,Watering Can 5L,1,350,140,57,Delhivery,5,Delivered
GLM-10217,2026-01-31,Delhi NCR,Live Plants,Money Plant,1,250,80,52,Delhivery,4,Delivered
GLM-10218,2026-05-11,Kochi,Live Plants,Bonsai Tree,1,1200,450,73,Shadowfax,6,Returned
GLM-10219,2026-04-27,Delhi NCR,Organic Fertilizers,Neem Cake Powder 2kg,3,250,90,159,Delhivery,3,Delivered
GLM-10220,2026-03-18,Chennai,Planters & Pots,Self-Watering Plastic Pot,1,220,90,133,Delhivery,2,Delivered
GLM-10221,2026-01-29,Kochi,Gardening Tools,Watering Can 5L,2,350,140,56,Shadowfax,4,Delivered
GLM-10222,2026-05-29,Pune,Live Plants,Money Plant,1,250,80,64,Shadowfax,8,Returned
GLM-10223,2026-02-07,Pune,Live Plants,Bonsai Tree,1,1200,450,66,Delhivery,4,Delivered
GLM-10224,2026-02-22,Kochi,Planters & Pots,Self-Watering Plastic Pot,2,220,90,125,Shadowfax,5,Delivered
GLM-10225,2026-03-25,Kolkata,Planters & Pots,Terracotta Clay Pot Set,3,500,200,133,Delhivery,4,Delivered
